,Unnamed: 0,country_or_area,commodity_transaction,year,unit,quantity,category,commodity,transaction,wide_category
143607,491104,Italy,Electricity - total geothermal production,2007,"Kilowatt-hours, million",5569.0,geothermal,Electricity,total geothermal production,Green
143608,491105,Italy,Electricity - total geothermal production,2006,"Kilowatt-hours, million",5527.0,geothermal,Electricity,total geothermal production,Green
143609,491106,Italy,Electricity - total geothermal production,2005,"Kilowatt-hours, million",5324.0,geothermal,Electricity,total geothermal production,Green
143610,491107,Italy,Electricity - total geothermal production,2004,"Kilowatt-hours, million",5437.0,geothermal,Electricity,total geothermal production,Green
143611,491108,Italy,Electricity - total geothermal production,2003,"Kilowatt-hours, million",5341.0,geothermal,Electricity,total geothermal production,Green
143612,491109,Italy,Electricity - total geothermal production,2002,"Kilowatt-hours, million",4662.0,geothermal,Electricity,total geothermal production,Green
143613,491110,Italy,Electricity - total geothermal production,2001,"Kilowatt-hours, million",4507.0,geothermal,Electricity,total geothermal production,Green
143614,491111,Italy,Electricity - total geothermal production,2000,"Kilowatt-hours, million",4705.0,geothermal,Electricity,total geothermal production,Green
143615,491112,Italy,Electricity - total geothermal production,1999,"Kilowatt-hours, million",4403.0,geothermal,Electricity,total geothermal production,Green
143616,491113,Italy,Electricity - total geothermal production,1998,"Kilowatt-hours, million",4214.0,geothermal,Electricity,total geothermal production,Green
143617,491114,Italy,Electricity - total geothermal production,1997,"Kilowatt-hours, million",3905.0,geothermal,Electricity,total geothermal production,Green
143618,491115,Italy,Electricity - total geothermal production,1996,"Kilowatt-hours, million",3762.0,geothermal,Electricity,total geothermal production,Green
143619,491116,Italy,Electricity - total geothermal production,1995,"Kilowatt-hours, million",3436.0,geothermal,Electricity,total geothermal production,Green
143620,491117,Italy,Electricity - total geothermal production,1994,"Kilowatt-hours, million",3417.0,geothermal,Electricity,total geothermal production,Green
143621,491118,Italy,Electricity - total geothermal production,1993,"Kilowatt-hours, million",3667.0,geothermal,Electricity,total geothermal production,Green
143622,491119,Italy,Electricity - total geothermal production,1992,"Kilowatt-hours, million",3459.0,geothermal,Electricity,total geothermal production,Green
143623,491120,Italy,Electricity - total geothermal production,1991,"Kilowatt-hours, million",3182.0,geothermal,Electricity,total geothermal production,Green
143624,491121,Italy,Electricity - total geothermal production,1990,"Kilowatt-hours, million",3222.0,geothermal,Electricity,total geothermal production,Green
143625,491282,Portugal,Electricity - total geothermal production,2014,"Kilowatt-hours, million",205.0,geothermal,Electricity,total geothermal production,Green
143626,491283,Portugal,Electricity - total geothermal production,2013,"Kilowatt-hours, million",197.0,geothermal,Electricity,total geothermal production,Green
143627,491284,Portugal,Electricity - total geothermal production,2012,"Kilowatt-hours, million",146.0,geothermal,Electricity,total geothermal production,Green
143628,491285,Portugal,Electricity - total geothermal production,2011,"Kilowatt-hours, million",210.0,geothermal,Electricity,total geothermal production,Green
143629,491286,Portugal,Electricity - total geothermal production,2010,"Kilowatt-hours, million",197.0,geothermal,Electricity,total geothermal production,Green
143630,491287,Portugal,Electricity - total geothermal production,2009,"Kilowatt-hours, million",184.0,geothermal,Electricity,total geothermal production,Green
143631,491288,Portugal,Electricity - total geothermal production,2008,"Kilowatt-hours, million",192.0,geothermal,Electricity,total geothermal production,Green
143632,491289,Portugal,Electricity - total geothermal production,2007,"Kilowatt-hours, million",201.0,geothermal,Electricity,total geothermal production,Green
143633,491290,Portugal,Electricity - total geothermal production,2006,"Kilowatt-hours, million",85.0,geothermal,Electricity,total geothermal production,Green
143634,491291,Portugal,Electricity - total geothermal production,2005,"Kilowatt-hours, million",71.0,geothermal,Electricity,total geothermal production,Green
143635,491292,Portugal,Electricity - total geothermal production,2004,"Kilowatt-hours, million",84.0,geothermal,Electricity,total geothermal production,Green
143636,491293,Portugal,Electricity - total geothermal production,2003,"Kilowatt-hours, million",90.0,geothermal,Electricity,total geothermal production,Green
